ID,Groups,Description,Baseline [02-10 11:00]
,CLI API Controller - Core Methods > defines,expandDefine parses define invocation,X/OK
,CLI API Controller - Core Methods > code execution,eval with variables,OK/OK
,VS Code Scripting API - VSCode Class,VSCode.isInitialized returns correct state,OK/OK
,VS Code Scripting API - VSCode Class,VSCode.getVersion returns version string,OK/OK
,VS Code Scripting API - VSCode Class,VSCode.getEnv returns environment info,OK/OK
,VS Code Scripting API - VSCodeWorkspace,getWorkspaceFolders returns list,OK/OK
,VS Code Scripting API - VSCodeWorkspace,getConfiguration returns configuration,OK/OK
,VS Code Scripting API - VSCodeWindow,showInformationMessage displays message,OK/OK
,VS Code Scripting API - VSCodeWindow,getActiveTextEditor returns editor info,OK/OK
,VS Code Scripting API - VSCodeCommands,getCommands returns list of commands,OK/OK
,VS Code Scripting API - VSCodeCommands,executeCommand can run basic command,OK/OK
,VS Code Scripting API - VSCodeExtensions,getAll returns list of extensions,OK/OK
,VS Code Scripting API - VSCodeExtensions,getExtension returns specific extension,OK/OK
,stdin error handling,should exit 1 on empty stdin,OK/OK
,stdin preprocessing — complete script,should execute complete script as-is,OK/OK
,stdin preprocessing — main without imports,should use int return from main as exit code,OK/OK
,stdin preprocessing — main without imports,should auto-prefix imports for bridge usage,OK/OK
,stdin preprocessing — main without imports,should execute void main and exit 0,OK/OK
,stdin preprocessing — bare statements,should auto-import dart:io,OK/OK
,stdin preprocessing — bare statements,should auto-import dart:math (stdlib bridge),OK/OK
,stdin preprocessing — bare statements,should use int return as exit code,OK/OK
,stdin preprocessing — bare statements,should print output and exit 0,OK/OK
,stdin shell script,test_stdin.sh passes all checks,OK/OK
,Integration - State Persistence,file content modifications persist,OK/OK
,Integration - State Persistence,directory modifications persist,OK/OK
,ContextStack,initial state,OK/OK
,CliState,cd changes directory,OK/OK
,CLI API Controller - Core Methods > directory navigation,cd with absolute path,OK/OK
,CLI API Controller - Core Methods > directory navigation,home returns to data directory,OK/OK
,CliState,defines management,OK/OK
,CliState,path resolution - relative paths,OK/OK
,CliState,path resolution - absolute paths,OK/OK
,CliState,path resolution - tilde expansion,OK/OK
,ExecutionContext,multiline mode management,OK/OK
,ContextStack,push and pop contexts,OK/OK
,ContextStack,cannot pop root context,OK/OK
,D4rtCliController,basic properties,OK/OK
,D4rtCliController,directory navigation,OK/OK
,D4rtCliController,ls lists directory contents,OK/OK
,D4rtCliController,defines work correctly,OK/OK
,CLI API Controller - Core Methods > properties,toolName returns configured name,OK/OK
,CLI API Controller - Core Methods > properties,dataDirectory returns configured path,OK/OK
,CLI API Controller - Core Methods > properties,d4rt returns interpreter instance,OK/OK
